,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,4634.000000,4121.000000,4219.000000,4253.000000,2353.000000
Short Term Investments,404.000000,440.000000,247.000000,224.000000,568.000000
Cash and Short Term Investments,5038.000000,4561.000000,4466.000000,4477.000000,2921.000000
"Accounts Receivable - Trade, Net",4705.000000,4623.000000,4459.000000,4821.000000,4791.000000
"Total Receivables, Net",4705.000000,4623.000000,4459.000000,4821.000000,4963.000000
Total Inventory,4239.000000,3984.000000,4168.000000,4217.000000,4134.000000
Prepaid Expenses,675.000000,516.000000,567.000000,604.000000,704.000000
"Other Current Assets, Total",325.000000,426.000000,446.000000,971.000000,249.000000
Total Current Assets,14982.000000,14110.000000,14106.000000,15090.000000,12971.000000
"Property/Plant/Equipment, Total - Gross",26650.000000,26452.000000,25943.000000,26000.000000,26124.000000
"Accumulated Depreciation, Total",-17229.000000,-17236.000000,-16854.000000,-16835.000000,-16791.000000
"Property/Plant/Equipment, Total - Net",10285.000000,10060.000000,9929.000000,10014.000000,10191.000000
"Goodwill, Net",13802.000000,13535.000000,13360.000000,13312.000000,13444.000000
"Intangibles, Net",5835.000000,5926.000000,6033.000000,6191.000000,6379.000000
"Other Long Term Assets, Total",2440.000000,1759.000000,1651.000000,1605.000000,1674.000000
Total Assets,47344.000000,45390.000000,45079.000000,46212.000000,44659.000000
Accounts Payable,2561.000000,2208.000000,1975.000000,2207.000000,2228.000000
Accrued Expenses,1003.000000,973.000000,748.000000,767.000000,949.000000
Notes Payable/Short Term Debt,0.000000,0.000000,0.000000,0.000000,0.000000
Current Port. of  LT Debt/Capital Leases,806.000000,1169.000000,1486.000000,3248.000000,2816.000000
"Other Current liabilities, Total",3578.000000,3060.000000,3073.000000,2912.000000,3229.000000
Total Current Liabilities,7948.000000,7410.000000,7282.000000,9134.000000,9222.000000
Long Term Debt,17989.000000,18429.000000,19276.000000,19247.000000,17518.000000
Total Long Term Debt,17989.000000,18429.000000,19276.000000,19247.000000,17629.000000
Total Debt,18795.000000,19598.000000,20762.000000,22495.000000,20445.000000
Minority Interest,64.000000,63.000000,58.000000,62.000000,63.000000
"Other Liabilities, Total",8476.000000,7608.000000,7606.000000,7622.000000,7682.000000
Total Liabilities,34477.000000,33510.000000,34222.000000,36065.000000,34596.000000
"Common Stock, Total",9.000000,9.000000,9.000000,9.000000,9.000000
Additional Paid-In Capital,6162.000000,6116.000000,6074.000000,6024.000000,5907.000000
Retained Earnings (Accumulated Deficit),43761.000000,43285.000000,42759.000000,42345.000000,42135.000000
Treasury Stock - Common,-29404.000000,-29570.000000,-29699.000000,-29817.000000,-29849.000000
"Other Equity, Total",-7661.000000,-7960.000000,-8286.000000,-8414.000000,-8139.000000
Total Equity,12867.000000,11880.000000,10857.000000,10147.000000,10063.000000
Total Liabilities & Shareholders' Equity,47344.000000,45390.000000,45079.000000,46212.000000,44659.000000
Total Common Shares Outstanding,577.749640,576.821880,576.019440,575.196370,575.184840
"Tangible Book Value per Share, Common Eq",-11.717880,-13.142710,-14.818940,-16.265750,-16.968460
Capital Lease Obligations,,,,,111.000000
