,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28
Cash,18729.000000,17773.000000,20253.000000,24405.000000,11383.000000
Cash & Equivalents,17281.000000,20243.000000,13130.000000,15769.000000,28388.000000
Short Term Investments,40816.000000,52927.000000,59642.000000,53877.000000,67391.000000
Cash and Short Term Investments,76826.000000,90943.000000,93025.000000,94051.000000,107162.000000
"Accounts Receivable - Trade, Net",27101.000000,16120.000000,17882.000000,15722.000000,20970.000000
"Total Receivables, Net",58620.000000,37445.000000,32075.000000,30677.000000,39946.000000
Total Inventory,4973.000000,4061.000000,3978.000000,3334.000000,4097.000000
"Other Current Assets, Total",13687.000000,11264.000000,10987.000000,15691.000000,12026.000000
Total Current Assets,154106.000000,143713.000000,140065.000000,143753.000000,163231.000000
"Property/Plant/Equipment, Total - Gross",105493.000000,112096.000000,109081.000000,106840.000000,105252.000000
"Accumulated Depreciation, Total",-67560.000000,-66760.000000,-65230.000000,-62854.000000,-60959.000000
"Property/Plant/Equipment, Total - Net",37933.000000,45336.000000,43851.000000,43986.000000,44293.000000
Long Term Investments,118745.000000,100887.000000,100592.000000,98793.000000,99899.000000
"Other Long Term Assets, Total",43270.000000,33952.000000,32836.000000,33868.000000,33195.000000
Total Assets,354054.000000,323888.000000,317344.000000,320400.000000,340618.000000
Accounts Payable,63846.000000,42296.000000,35325.000000,32421.000000,45111.000000
Notes Payable/Short Term Debt,5000.000000,4996.000000,11166.000000,10029.000000,4990.000000
Current Port. of  LT Debt/Capital Leases,7762.000000,8797.000000,7529.000000,10411.000000,10238.000000
"Other Current liabilities, Total",55899.000000,47867.000000,39945.000000,42048.000000,40577.000000
Total Current Liabilities,132507.000000,105392.000000,95318.000000,96094.000000,102161.000000
Long Term Debt,99281.000000,98667.000000,94048.000000,89086.000000,93078.000000
Total Long Term Debt,99281.000000,99304.000000,94678.000000,89715.000000,93705.000000
Total Debt,112043.000000,113097.000000,113373.000000,110155.000000,108933.000000
"Other Liabilities, Total",56042.000000,53853.000000,55066.000000,56166.000000,55221.000000
Total Liabilities,287830.000000,258549.000000,245062.000000,241975.000000,251087.000000
"Common Stock, Total",51744.000000,50779.000000,48696.000000,48032.000000,45972.000000
Retained Earnings (Accumulated Deficit),14301.000000,14966.000000,24136.000000,33182.000000,43977.000000
Unrealized Gain (Loss),2369.000000,1846.000000,1613.000000,-1474.000000,822.000000
"Other Equity, Total",-2190.000000,-2252.000000,-2163.000000,-1315.000000,-1240.000000
Total Equity,66224.000000,65339.000000,72282.000000,78425.000000,89531.000000
Total Liabilities & Shareholders' Equity,354054.000000,323888.000000,317344.000000,320400.000000,340618.000000
Total Common Shares Outstanding,16823.263000,16976.763000,17135.756000,17295.948000,17539.836000
"Tangible Book Value per Share, Common Eq",3.936450,3.848730,4.218200,4.534300,5.104440
Accrued Expenses,,1436.000000,1353.000000,1185.000000,1245.000000
Capital Lease Obligations,,637.000000,630.000000,629.000000,627.000000
